name;slug;value;date_of_information;ranking;region
"Senegal";"senegal";"1,312,000";"2020";129;"Africa"
"Brunei";"brunei";"1,261,000";"2020";130;"East and Southeast Asia"
"Jamaica";"jamaica";"1,216,000";"2020";131;"Central America and the Caribbean"
"Papua New Guinea";"papua-new-guinea";"1,139,000";"2020";132;"East and Southeast Asia"
"New Caledonia";"new-caledonia";"1,071,000";"2020";133;"Australia and Oceania"
"Montenegro";"montenegro";"1,007,000";"2020";134;"Europe"
"Guinea";"guinea";"992,000";"2020";135;"Africa"
"Mauritius";"mauritius";"936,000";"2020";136;"Africa"
"Mali";"mali";"890,000";"2020";137;"Africa"
"Gabon";"gabon";"784,000";"2020";138;"Africa"
"Malta";"malta";"784,000";"2020";139;"Europe"
"Afghanistan";"afghanistan";"776,000";"2020";140;"South Asia"
"Botswana";"botswana";"766,000";"2020";141;"Africa"
"Mauritania";"mauritania";"656,000";"2020";142;"Africa"
"Namibia";"namibia";"640,000";"2020";143;"Africa"
"Congo, Republic of the";"congo-republic-of-the";"629,000";"2020";144;"Africa"
"Malawi";"malawi";"618,000";"2020";145;"Africa"
"Moldova";"moldova";"594,000";"2020";146;"Europe"
"Madagascar";"madagascar";"587,000";"2020";147;"Africa"
"Bahamas, The";"bahamas-the";"578,000";"2020";148;"Central America and the Caribbean"
"Maldives";"maldives";"545,000";"2020";149;"South Asia"
"Suriname";"suriname";"542,000";"2020";150;"South America"
"Macau";"macau";"478,000";"2020";151;"East and Southeast Asia"
"Benin";"benin";"475,000";"2020";152;"Africa"
"Guam";"guam";"455,000";"2020";153;"Australia and Oceania"
"Fiji";"fiji";"393,000";"2020";154;"Australia and Oceania"
"Burkina Faso";"burkina-faso";"392,000";"2020";155;"Africa"
"Guyana";"guyana";"380,000";"2020";156;"South America"
"Equatorial Guinea";"equatorial-guinea";"349,000";"2020";157;"Africa"
"Niger";"niger";"324,000";"2020";158;"Africa"
"Virgin Islands";"virgin-islands";"321,000";"2020";159;"Central America and the Caribbean"
"Barbados";"barbados";"311,000";"2020";160;"Central America and the Caribbean"
"Aruba";"aruba";"296,000";"2020";161;"Central America and the Caribbean"
"Eswatini";"eswatini";"286,000";"2020";162;"Africa"
"Timor-Leste";"timor-leste";"284,000";"2020";163;"East and Southeast Asia"
"French Polynesia";"french-polynesia";"272,000";"2020";164;"Australia and Oceania"
"Rwanda";"rwanda";"265,000";"2020";165;"Africa"
"Eritrea";"eritrea";"228,000";"2020";166;"Africa"
"West Bank";"west-bank";"215,000";"2020";167;"Middle East"
"Gaza Strip";"gaza-strip";"215,000";"2020";168;"Middle East"
"Togo";"togo";"210,000";"2020";169;"Africa"
"Cabo Verde";"cabo-verde";"205,000";"2020";170;"Africa"
"Belize";"belize";"204,000";"2020";171;"Central America and the Caribbean"
"Liberia";"liberia";"196,000";"2020";172;"Africa"
"Greenland";"greenland";"187,000";"2020";173;"North America"
"Sierra Leone";"sierra-leone";"180,000";"2020";174;"Africa"
"Cayman Islands";"cayman-islands";"174,000";"2020";175;"Central America and the Caribbean"
"Bermuda";"bermuda";"172,000";"2020";176;"North America"
"Seychelles";"seychelles";"157,000";"2020";177;"Africa"
"Gambia, The";"gambia-the";"137,000";"2020";178;"Africa"
"Djibouti";"djibouti";"130,000";"2020";179;"Africa"
"Faroe Islands";"faroe-islands";"128,000";"2020";180;"Europe"
